"country","peace_index","population_2019","area"
"Iceland",1.072,"339,031","103,000 km²"
"New Zealand",1.221,"4,783,063","270,467 km²"
"Portugal",1.274,"10,226,187","92,090 km²"
"Austria",1.291,"8,955,102","83,871 km²"
"Denmark",1.316,"5,771,876","43,094 km²"
"Canada",1.327,"37,411,047","9,984,670 km²"
"Singapore",1.347,"5,804,337","710 km²"
"Slovenia",1.355,"2,078,654","20,273 km²"
"Japan",1.369,"126,860,301","377,930 km²"
"Czech Republic",1.375,"10,689,209","78,865 km²"
"Switzerland",1.383,"8,591,365","41,284 km²"
"Ireland",1.39,"4,882,495","70,273 km²"
"Australia",1.419,"25,203,198","7,692,024 km²"
"Finland",1.488,"5,532,156","338,424 km²"
"Malaysia",1.529,"31,949,777","330,803 km²"
"Netherlands",1.53,"17,097,130","41,850 km²"
"Belgium",1.533,"11,539,328","30,528 km²"
"Sweden",1.533,"10,036,379","450,295 km²"
"Norway",1.536,"5,378,857","323,802 km²"
"Hungary",1.54,"9,684,679","93,028 km²"
"Germany",1.547,"83,517,045","357,114 km²"
"Slovakia",1.55,"5,457,013","49,037 km²"
"Mauritius",1.562,"1,269,668","2,040 km²"
"Romania",1.606,"19,364,557","238,391 km²"
"Bulgaria",1.607,"7,000,119","110,879 km²"
"Chile",1.634,"18,952,038","756,102 km²"
"Croatia",1.645,"4,130,304","56,594 km²"
"Poland",1.654,"37,887,768","312,679 km²"
"Botswana",1.676,"2,303,697","582,000 km²"
"Qatar",1.696,"2,832,067","11,586 km²"
"Spain",1.699,"46,736,776","505,992 km²"
"Costa Rica",1.706,"5,047,561","51,100 km²"
"Uruguay",1.711,"3,461,734","181,034 km²"
"Latvia",1.718,"1,906,743","64,559 km²"
"Taiwan",1.725,"23,773,876","36,193 km²"
"Estonia",1.727,"1,325,648","45,227 km²"
"Lithuania",1.728,"2,759,627","65,300 km²"
"Italy",1.754,"60,550,075","301,336 km²"
"Malawi",1.779,"18,628,747","118,484 km²"
"Indonesia",1.785,"270,625,568","1,904,569 km²"
"Mongolia",1.792,"3,225,167","1,564,110 km²"
"Kuwait",1.794,"4,207,083","17,818 km²"
"Ghana",1.796,"30,417,856","238,533 km²"
"Laos",1.801,"7,169,455","236,800 km²"
"United Kingdom",1.801,"67,530,172","242,900 km²"
"Panama",1.804,"4,246,439","75,417 km²"
"Timor Leste",1.805,"1,293,119","14,874 km²"
"Zambia",1.805,"17,861,030","752,612 km²"
"Serbia",1.812,"8,772,235","88,361 km²"
"Albania",1.821,"2,880,917","28,748 km²"
"Sierra Leone",1.822,"7,813,215","71,740 km²"
"United Arab Emirates",1.847,"9,770,529","83,600 km²"
"Tanzania",1.86,"58,005,463","945,087 km²"
"South Korea",1.867,"51,225,308","100,210 km²"
"Madagascar",1.867,"26,969,307","587,041 km²"
"Vietnam",1.877,"96,462,106","331,212 km²"
"Senegal",1.883,"16,296,364","196,722 km²"
"Liberia",1.889,"4,937,374","111,369 km²"
"France",1.892,"65,129,728","551,695 km²"
"Namibia",1.892,"2,494,530","825,615 km²"
"Cyprus",1.914,"1,198,575","9,251 km²"
"Kazakhstan",1.932,"18,551,427","2,724,900 km²"
"Greece",1.933,"10,473,455","131,990 km²"
"Montenegro",1.939,"627,987","13,812 km²"
"Moldova",1.951,"4,043,263","33,846 km²"
"Oman",1.953,"4,974,986","309,500 km²"
"Equatorial Guinea",1.957,"1,355,986","28,051 km²"
"Ecuador",1.98,"17,373,662","276,841 km²"
"Benin",1.986,"11,801,151","112,622 km²"
"Argentina",1.989,"44,780,677","2,780,400 km²"
"Nepal",2.003,"28,608,710","147,181 km²"
"Angola",2.012,"31,825,295","1,246,700 km²"
"Jordan",2.012,"10,101,694","89,342 km²"
"Rwanda",2.014,"12,626,950","26,338 km²"
"Peru",2.016,"32,510,453","1,285,216 km²"
"Bosnia And Herzegovina",2.019,"3,301,000","51,209 km²"
"Tunisia",2.035,"11,694,719","163,610 km²"
"Jamaica",2.038,"2,948,279","10,991 km²"
"Dominican Republic",2.041,"10,738,958","48,671 km²"
"Bolivia",2.044,"11,513,100","1,098,581 km²"
"Haiti",2.052,"11,263,077","27,750 km²"
"Cambodia",2.066,"16,486,542","181,035 km²"
"Morocco",2.07,"36,471,769","446,550 km²"
"Cuba",2.073,"11,333,483","109,884 km²"
"Guyana",2.075,"782,766","214,969 km²"
"Trinidad And Tobago",2.094,"1,394,973","5,130 km²"
"Mozambique",2.099,"30,366,036","801,590 km²"
"Gabon",2.112,"2,172,579","267,668 km²"
"Belarus",2.115,"9,452,411","207,600 km²"
"Papua New Guinea",2.118,"8,776,109","462,840 km²"
"Georgia",2.122,"3,996,765","69,700 km²"
"Guinea",2.125,"12,771,246","245,857 km²"
"Bangladesh",2.128,"163,046,161","147,570 km²"
"Uzbekistan",2.166,"32,981,716","447,400 km²"
"Lesotho",2.167,"2,125,268","30,355 km²"
"Burkina Faso",2.176,"20,321,378","272,967 km²"
"Tajikistan",2.196,"9,321,018","143,100 km²"
"Uganda",2.196,"44,269,594","241,550 km²"
"Togo",2.205,"8,082,366","56,785 km²"
"Djibouti",2.207,"973,560","23,200 km²"
"China",2.217,"1,433,783,686","9,706,961 km²"
"Algeria",2.219,"43,053,054","2,381,741 km²"
"Guinea Bissau",2.237,"1,920,922","36,125 km²"
"El Salvador",2.262,"6,453,553","21,041 km²"
"Guatemala",2.264,"17,581,472","108,889 km²"
"Turkmenistan",2.265,"5,942,089","488,100 km²"
"Brazil",2.271,"211,049,527","8,515,767 km²"
"Thailand",2.278,"69,625,582","513,120 km²"
"Armenia",2.294,"2,957,731","29,743 km²"
"Kenya",2.3,"52,573,973","580,367 km²"
"Nicaragua",2.312,"6,545,502","130,373 km²"
"Mauritania",2.333,"4,525,696","1,030,700 km²"
"Honduras",2.341,"9,746,117","112,492 km²"
"Bahrain",2.357,"1,641,172","765 km²"
"Myanmar",2.393,"54,045,420","676,578 km²"
"Niger",2.394,"23,310,715","1,267,000 km²"
"South Africa",2.399,"58,558,270","1,221,037 km²"
"United States",2.401,"329,064,917","9,372,610 km²"
"Saudi Arabia",2.409,"34,268,528","2,149,690 km²"
"Azerbaijan",2.425,"10,047,718","86,600 km²"
"Ethiopia",2.434,"112,078,730","1,104,300 km²"
"Zimbabwe",2.463,"14,645,468","390,757 km²"
"Eritrea",2.504,"3,497,117","117,600 km²"
"Philippines",2.516,"108,116,615","342,353 km²"
"Burundi",2.52,"11,530,580","27,834 km²"
"Egypt",2.521,"100,388,073","1,002,450 km²"
"Chad",2.522,"15,946,876","1,284,000 km²"
"Cameroon",2.538,"25,876,380","475,442 km²"
"Iran",2.542,"82,913,906","1,648,195 km²"
"Mexico",2.6,"127,575,529","1,964,375 km²"
"India",2.605,"1,366,417,754","3,287,590 km²"
"Palestine",2.608,"4,981,420","6,220 km²"
"Colombia",2.661,"50,339,443","1,141,748 km²"
"Venezuela",2.671,"28,515,829","916,445 km²"
"Mali",2.71,"19,658,031","1,240,192 km²"
"Israel",2.735,"8,519,377","20,770 km²"
"Lebanon",2.8,"6,855,713","10,452 km²"
"Nigeria",2.898,"200,963,599","923,768 km²"
"North Korea",2.921,"25,666,161","120,538 km²"
"Ukraine",2.95,"43,993,638","603,500 km²"
"Sudan",2.995,"42,813,238","1,886,068 km²"
"Turkey",3.015,"83,429,615","783,562 km²"
"Pakistan",3.072,"216,565,318","881,912 km²"
"Russia",3.093,"145,872,256","17,098,242 km²"
"Libya",3.285,"6,777,452","1,759,540 km²"
"Somalia",3.3,"15,442,905","637,657 km²"
"Iraq",3.369,"39,309,783","438,317 km²"
"Yemen",3.412,"29,161,922","527,968 km²"
"South Sudan",3.526,"11,062,113","619,745 km²"
"Syria",3.566,"17,070,135","185,180 km²"
"Afghanistan",3.574,"38,041,754","652,230 km²"
